commune, Population, Part_population_15_59_ans, Nombre_de_ménages, Taux_activité, Taux_chômage, Part_salariés_parmi_actifs, Taux_analphabétisme, Part_population_niveau_études_supérieur
Anfa, 66026, 58.70, 22331, 47.1, 14.3, 69.7, 8.2, 33.5
Maarif, 139116, 61.00, 51113, 50.1, 10.9, 72.1, 6.4, 39.8
Sidi Belyout, 136392, 61.20, 47055, 47.6, 19.5, 70.1, 10.6, 21.3
Ben-M'sick, 105549, 61.00, 29445, 42.2, 24.6, 62.9, 15.8, 11.6
Sbata, 101624, 61.40, 26764, 42.7, 22.2, 23.7, 13.1, 15.3
Sidi Bernoussi, 153621, 61.60, 42626, 45.4, 22.8, 73.5, 11.9, 16.7
Sidi Moumen, 551118, 62.10, 142020, 43.8, 18.6, 70.6, 13.3, 13
Méchouar de Casablanca, 2084, 57.40, 601, 39.4, 15.3, 68, 10.8, 29.1
Moulay Rachid, 244692, 61.90, 63294, 44, 22.5, 65.5, 16.2, 11
Sidi Othmane, 211894, 61.40, 56242, 43.1, 22.5, 61.3, 17.4, 9.3
Asoukhour Assawda, 104694, 61.00, 32260, 45.8, 16.4, 76.5, 7.4, 29.8
Hay-Mohammadi, 104137, 60.70, 28469, 41.6, 26.1, 70.8, 14.1, 12.6
Aïn-Sebaâ, 143697, 61.90, 40875, 45.5, 17.3, 76.7, 9.3, 22.8
Al-Fida, 125777, 61.00, 35993, 43.9, 23.3, 64.9, 13.9, 13.6
Mers-Sultan, 97529, 60.80, 30509, 45.6, 23.2, 62.6, 12.2, 18.8
Aïn-Chock, 374579, 62.30, 102598, 45.8, 16.6, 68.5, 11.1, 22.4
Hay-Hassani, 536887, 63.70, 157634, 49.6, 16.6, 70.4, 11.5, 18.9